term,definition,category,categories,related_terms,example,video_url,featured_image,article_link,key_concepts
Accelerated Mobile Pages (AMP),"An open-source framework designed to create fast-loading mobile web pages, enhancing mobile SEO performance, user experience, and search engine rankings on mobile devices.",seo,"Technical SEO, Technical","Progressive Web Apps (PWA), Google Lighthouse","Southeast Asian media outlets like Thairath and Kompas leverage AMP versions of articles that load 2–4× faster than standard mobile web, securing placement in Google's Top Stories carousel while cutting bounce rates and lifting engagement metrics. E-commerce platforms like Shopee apply AMP to product listings and detail pages, achieving sub-1-second paint times on 3G connections in emerging markets and driving measurable conversion increases. News publishers in Laos leverage AMP Stories for interactive formats, delivering instant experiences on low-end Android devices despite high-latency networks and strengthening retention in constrained environments.",https://www.youtube.com/watch?v=PuECtstALUo,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/accelerated-mobile-pages-amp.webp,https://wordsthatsells.website/en/resources/glossary/amp-accelerated-mobile-pages-guide-2026.html,Speed; Mobile-first; HTML restriction
Agile Content Development,A dynamic approach to creating and optimizing content iteratively using real-time search data and SEO analytics to continuously improve organic visibility and engagement.,content,"Content Strategy, Strategy","Content Marketing, Content Editor","A digital marketing agency in Singapore utilizes agile content development by monitoring real-time search trends on platforms like Google Trends and X. When a sudden surge in interest around ""digital banking licenses in Malaysia"" occurs, their content team quickly drafts and publishes a targeted article within hours. They then continuously update this piece with fresh data, expert quotes from local fintech leaders, and new keyword variations based on initial performance metrics. This iterative approach ensures the content remains highly relevant, capturing immediate search traffic and maintaining a competitive edge in the fast-paced Southeast Asian financial sector.",https://www.youtube.com/watch?v=Eu1uOULGaM8,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/agile-content-development.webp,https://wordsthatsells.website/en/resources/glossary/agile-content-development-for-seo-2026.html,Optimization; Data-driven; Continuous
Alt Attributes,"HTML tags providing text descriptions for images, crucial for web accessibility and image SEO, helping search engine crawlers understand and index visual content accurately.",seo,"Onpage Optimization, Technical SEO","Page Content, Meta Tag","A Laotian eco-tourism company optimizes their website by adding descriptive alt attributes to all their tour images. Instead of leaving image tags blank or using generic terms like ""waterfall,"" they use specific, keyword-rich descriptions such as ""Tourists swimming in the turquoise waters of Kuang Si Falls in Luang Prabang, Laos."" This practice not only improves web accessibility for visually impaired users relying on screen readers but also helps search engine crawlers accurately index the images. Consequently, these optimized images rank higher in Google Image Search, driving additional organic traffic from travelers searching for visually appealing destinations in Southeast Asia.",https://www.youtube.com/watch?v=7bt7obudNzM,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/alt-attributes.webp,https://wordsthatsells.website/en/resources/glossary/alt-attributes-seo-and-accessibility-2026.html,Accessibility; Image SEO; Crawlability
Anchor Text,"The clickable, visible text in a hyperlink, vital for SEO as it provides context and relevance signals to search engines about the linked page's content.",seo,"Onpage Optimization, Offpage Optimization","Link Text, Internal Links, Backlinks","A popular Vietnamese food blog strategically uses anchor text to boost the SEO of its recipe pages. When writing an article about traditional street food, instead of using generic phrases like ""click here"" to link to a related post, they use descriptive anchor text such as ""authentic Pho recipe from Hanoi."" This provides clear context to both readers and search engines about the linked page's content. By consistently using relevant, keyword-optimized anchor text across their site and when guest posting on other Southeast Asian culinary websites, they significantly improve their rankings for specific regional food queries.",https://www.youtube.com/watch?v=tVwxzIoCjSM,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/anchor-text.webp,https://wordsthatsells.website/en/resources/glossary/anchor-text-optimization-guide-2026.html,Relevance; Link building; Context
Backlinks,"Incoming links from external websites to your site, serving as a major ranking factor in SEO by signaling authority, trust, and domain popularity to search engines.",seo,"Offpage Optimization, SEO Strategy","Link Popularity, Link Juice","A fast-growing Malaysian tech startup actively builds its domain authority by acquiring high-quality backlinks from reputable regional publications. When they launch a new AI-driven logistics tool, they pitch the story to major platforms like Tech in Asia and e27. The resulting articles include direct backlinks to the startup's homepage and product pages. Search engines view these incoming links from trusted, authoritative domains as strong endorsements, signaling that the startup's website is a credible source of information. This significantly boosts their organic search rankings across Southeast Asia, making them more visible to potential investors and enterprise clients.",https://www.youtube.com/watch?v=-kAmDxp1T9M,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/backlinks.webp,https://wordsthatsells.website/en/resources/glossary/backlinks-building-strategy-2026.html,Link Building; Authority; Off-page SEO
Bad Neighborhood,A group of websites with poor reputation or spammy practices; linking to or from them can severely harm your website's SEO rankings and domain trust.,seo,"SEO Risks, Offpage Optimization","Search Engine Spam, Link Popularity","An Indonesian e-commerce platform specializing in batik clothing closely monitors its backlink profile to avoid associating with a ""bad neighborhood."" They discover that several low-quality, spammy gambling and counterfeit goods websites have started linking to their domain. Recognizing that search engines penalize sites connected to these malicious networks, the SEO team immediately uses Google's Disavow Tool to distance themselves from these harmful links. By proactively cleaning up their backlink profile and ensuring they only link out to reputable, high-quality Southeast Asian businesses, they protect their domain trust and maintain their hard-earned search engine rankings.",https://www.youtube.com/watch?v=SI_4vqMemVI,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/bad-neighborhood.webp,https://wordsthatsells.website/en/resources/glossary/bad-neighborhood-links-risks-2026.html,Spam; Penalties; Link Quality
Blocker,"Technical obstacles or scripts, like robots.txt disallows or heavy JavaScript, that prevent search engine crawlers from accessing, indexing, or rendering a webpage correctly.",seo,"Technical SEO, SEO Risks","Robots.txt, Crawlers","A major Thai online retailer experienced a sudden drop in organic traffic and discovered a technical blocker was the culprit. During a recent website redesign, their development team accidentally implemented heavy JavaScript frameworks that search engine crawlers struggled to render. Additionally, an overly restrictive robots.txt file was inadvertently blocking Googlebot from accessing key product category pages. Once the SEO team identified these blockers, they optimized the JavaScript execution for better crawlability and updated the robots.txt directives. Removing these obstacles allowed search engines to properly index their extensive catalog, quickly restoring their visibility in regional search results.",https://www.youtube.com/watch?v=_pPm5EKwFLg,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/blocker.webp,https://wordsthatsells.website/en/resources/glossary/content-blockers-in-seo-2026.html,Crawlability; Robots.txt; Indexing
Briefing,"A detailed document outlining content requirements, target keywords, search intent, and SEO guidelines to ensure writers create optimized, high-ranking content for search engines.",content,"Content Strategy, Management","Content Editor, Page Content","A content manager at a regional travel platform like Agoda creates comprehensive SEO briefings for their freelance writers located across Southeast Asia. Before assigning an article about ""budget travel in Vietnam,"" the brief outlines the primary keyword, secondary LSI keywords, target audience intent, and desired word count. It also specifies the required headings (H2, H3) and internal linking strategies to other relevant destination pages. By providing these detailed guidelines, the manager ensures that every piece of content produced is highly optimized for search engines from the outset, leading to consistent rankings and increased organic traffic across their diverse travel guides.",https://www.youtube.com/watch?v=xpDTmEYaZUQ,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/briefing.webp,https://wordsthatsells.website/en/resources/glossary/seo-briefing-template-2026.html,Content Strategy; Keyword Targeting; Guidelines
Broken Link,"A hyperlink that points to a non-existent or deleted webpage, resulting in a 404 error, which negatively impacts user experience and website crawlability for SEO.",seo,"Technical SEO, SEO Risks","Internal Links, User Experience","A prominent Philippine news portal conducts regular site audits to identify and fix broken links that negatively impact user experience and SEO. Over time, as older articles are archived or deleted, internal links pointing to them result in 404 error pages. When a user clicks a link expecting a story about the ""Manila traffic scheme"" but hits a dead end, they quickly leave the site, increasing the bounce rate. By redirecting these broken links to relevant, live content or updating the URLs, the portal ensures a smooth browsing experience and helps search engine crawlers navigate their massive site efficiently.",https://www.youtube.com/watch?v=E6MQfXwDixk,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/broken-link.webp,https://wordsthatsells.website/en/resources/glossary/broken-link-building-guide-2026.html,User Experience; Crawl Errors; 404 Error
Business Directory,"An online database of businesses categorized by niche or location, useful for local SEO and building authoritative citations and backlinks to improve search visibility.",seo,"Local SEO, Offpage Optimization","Web Directory, Web Catalogues","A boutique coffee roaster in Vientiane, Laos, leverages local business directories to improve its regional SEO and attract both locals and tourists. They ensure their business name, address, and phone number (NAP) are consistently listed across platforms like Google My Business, TripAdvisor, and the Yellow Pages Laos. They also submit their details to niche Southeast Asian cafe directories. These authoritative citations act as strong local ranking signals, helping the roaster appear in the coveted ""local pack"" when users search for ""best coffee in Vientiane,"" significantly driving foot traffic and brand awareness in the community.",https://www.youtube.com/watch?v=6WmdW2t3LaA,https://cdn.jsdelivr.net/gh/laurentlaboise/marketing@main/images/business-directory.webp,https://wordsthatsells.website/en/resources/glossary/business-directory-submissions-2026.html,Local SEO; Citations; Backlinks
